plot_cn,STATECD,UNITCD,COUNTYCD,PLOT,LAT,LON,ELEV,INVYR,MEASYEAR,PLOT_STATUS_CD,FORTYPCD,LIVE_CANOPY_CVR_PCT,STDAGE,SLOPE,ASPECT,CONDID,geometry,boletus_id,boletus_lat,boletus_lon,boletus_elevation,boletus_date,distance_km,state,annual_precipitation_mm
484817837489998,41,0,27,60756,45.424933,-121.596425,3700.0,2018,2018,1,267.0,85.0,45.0,40.0,97.0,1,POINT (-121.59642500000001 45.42493299999999),136566018,45.4229966667,-121.6036616667,,2022-06-21,0.6057197277651184,OR,1762.033935546875
22931988010497,41,2,29,60081,42.085431,-122.732466,6900.0,2008,2008,1,262.0,,100.0,25.0,165.0,1,POINT (-122.732466 42.08543099999999),139910139,42.079095419,-122.7404569578,,2020-07-12,0.9652370554882996,OR,1718.5706787109375
30852096020004,41,2,29,58099,42.085938,-122.760463,6700.0,2012,2012,1,262.0,60.0,95.0,20.0,237.0,1,POINT (-122.760463 42.085938),139910139,42.079095419,-122.7404569578,,2020-07-12,1.8207962104161344,OR,1718.5706787109375
484818090489998,41,2,29,60081,42.085431,-122.732466,6900.0,2018,2018,1,262.0,58.0,110.0,27.0,172.0,1,POINT (-122.732466 42.08543099999999),139910139,42.079095419,-122.7404569578,,2020-07-12,0.9652370554882996,OR,1718.5706787109375
30826361020004,41,2,29,58099,42.085938,-122.760463,6700.0,2002,2002,1,262.0,,85.0,20.0,230.0,1,POINT (-122.760463 42.085938),139910139,42.079095419,-122.7404569578,,2020-07-12,1.8207962104161344,OR,1718.5706787109375
558628171126144,41,0,27,71618,45.400325,-121.565424,3700.0,2019,2019,1,201.0,98.0,210.0,12.0,338.0,1,POINT (-121.565424 45.400325),155176073,45.4045533333,-121.5608366667,,2022-06-21,0.5913215086992856,OR,1762.033935546875
29880206010497,41,0,27,71618,45.400325,-121.565424,3700.0,2009,2009,1,201.0,,200.0,11.0,337.0,1,POINT (-121.565424 45.400325),155176073,45.4045533333,-121.5608366667,,2022-06-21,0.5913215086992856,OR,1762.033935546875
44541725020004,41,2,29,84313,42.494159,-122.457124,2900.0,2013,2013,1,261.0,25.0,95.0,7.0,255.0,1,POINT (-122.457124 42.494159),164341839,42.49318,-122.4403916667,,2023-05-28,1.3792951597957912,OR,935.0039672851562
1207,41,2,29,62,42.483337,-122.457504,2694.0,1999,1997,1,201.0,,75.0,0.0,0.0,1,POINT (-122.457504 42.483337000000006),164341839,42.49318,-122.4403916667,,2023-05-28,1.7811313726798255,OR,935.0039672851562
30852293020004,41,2,29,93904,42.48165,-122.431774,3300.0,2012,2012,1,201.0,85.0,80.0,5.0,322.0,1,POINT (-122.431774 42.481649999999995),164341839,42.49318,-122.4403916667,,2023-05-28,1.4631432269264713,OR,949.9346923828125
24423443010900,41,2,29,84313,42.494159,-122.457124,2900.0,2003,2003,1,261.0,,85.0,7.0,255.0,1,POINT (-122.457124 42.494159),164341839,42.49318,-122.4403916667,,2023-05-28,1.3792951597957912,OR,935.0039672851562
30826390020004,41,2,29,93904,42.48165,-122.431774,3300.0,2002,2002,1,201.0,,70.0,0.0,0.0,1,POINT (-122.431774 42.481649999999995),164341839,42.49318,-122.4403916667,,2023-05-28,1.4631432269264713,OR,949.9346923828125
174763700020004,41,3,17,75812,44.298044,-121.696905,3900.0,2013,2013,1,261.0,75.0,75.0,8.0,55.0,1,POINT (-121.69690500000002 44.29804399999999),165836906,44.3116380042,-121.7069614773,,2023-06-05,1.7099978427752762,OR,958.70947265625
30852317020004,41,3,17,62373,44.322856,-121.696412,3900.0,2012,2012,1,261.0,65.0,75.0,15.0,192.0,1,POINT (-121.696412 44.322856),165836906,44.3116380042,-121.7069614773,,2023-06-05,1.5036371920683893,OR,973.2279052734375
41119072010497,41,3,17,75812,44.298044,-121.696905,3900.0,2003,2003,1,221.0,,65.0,7.0,40.0,1,POINT (-121.69690500000002 44.29804399999999),165836906,44.3116380042,-121.7069614773,,2023-06-05,1.7099978427752762,OR,958.70947265625
41118907010497,41,3,17,62373,44.322856,-121.696412,3900.0,2002,2002,1,221.0,,100.0,16.0,204.0,1,POINT (-121.696412 44.322856),165836906,44.3116380042,-121.7069614773,,2023-06-05,1.5036371920683893,OR,973.2279052734375
750085750290487,41,4,61,58683,45.796979,-117.811307,4100.0,2021,2021,1,,0.0,,,,1,POINT (-117.811307 45.796978999999986),166827846,45.8077383333,-117.8303533333,,2023-06-01,1.906288293974059,OR,759.997802734375
8710428010901,41,4,59,74113,45.039542,-118.718795,5300.0,2006,2006,1,281.0,,10.0,33.0,116.0,1,POINT (-118.71879500000001 45.03954199999999),167818730,45.0375638333,-118.7206333333,,2023-06-15,0.2635314156409786,OR,722.6768798828125
345936259489998,41,4,59,74113,45.039542,-118.718795,5300.0,2016,2016,1,281.0,20.0,16.0,35.0,121.0,1,POINT (-118.71879500000001 45.03954199999999),167818730,45.0375638333,-118.7206333333,,2023-06-15,0.2635314156409786,OR,722.6768798828125
715050766290487,41,3,35,40390,42.788258,-122.029966,4700.0,2020,2020,1,221.0,40.0,100.0,3.0,0.0,1,POINT (-122.02996600000002 42.788258),170884364,42.7868279722,-122.025867,,2023-06-27,0.3709868653899542,OR,937.9720458984375
22953739010497,41,3,35,58544,42.252566,-122.158728,5300.0,2007,2007,1,261.0,,150.0,5.0,280.0,1,POINT (-122.158728 42.25256600000001),171688401,42.2654343,-122.1601354997,,2023-06-28,1.4336106414734673,OR,1166.088623046875
51861,41,3,35,172,42.266666,-122.13723,,1999,1998,1,261.0,,105.0,0.0,0.0,1,POINT (-122.13723 42.266666),171688401,42.2654343,-122.1601354997,,2023-06-28,1.8941155710962205,OR,954.6533203125
412222447489998,41,3,35,58544,42.252566,-122.158728,5300.0,2017,2017,1,261.0,63.0,160.0,5.0,280.0,1,POINT (-122.158728 42.25256600000001),171688401,42.2654343,-122.1601354997,,2023-06-28,1.4336106414734673,OR,1166.088623046875
714228696290487,41,3,35,84010,42.281834,-122.164312,4900.0,2020,2020,1,261.0,50.0,85.0,2.0,0.0,1,POINT (-122.16431199999998 42.281833999999996),171688401,42.2654343,-122.1601354997,,2023-06-28,1.853319074387944,OR,1340.8271484375
41118041010497,41,3,65,88074,45.129361,-121.537789,3300.0,2006,2006,1,221.0,,37.0,5.0,295.0,1,POINT (-121.537789 45.129361),218552951,45.1310861111,-121.5392611111,,2024-05-26,0.22392826723180934,OR,786.0100708007812
346864076489998,41,3,65,88074,45.129361,-121.537789,3300.0,2016,2016,1,221.0,88.0,47.0,5.0,264.0,1,POINT (-121.537789 45.129361),218552951,45.1310861111,-121.5392611111,,2024-05-26,0.22392826723180934,OR,786.0100708007812
