plot_cn,SPCD,species_name,scientific_name,tree_count,avg_dia,max_dia,avg_ht,total_carbon,trees_5plus_inches,state
412222447489998,117,sugar pine,Pinus lambertiana,5,53.6,66.1,158.6,78316.566124,5,OR
412222447489998,119,western white pine,Pinus monticola,1,42.3,42.3,185.0,10517.288842,1,OR
412222447489998,202,Douglas-fir,Pseudotsuga menziesii,1,72.9,72.9,190.0,28336.419465,1,OR
412223156489998,19,subalpine fir,Abies lasiocarpa,18,8.777777777777779,15.1,46.833333333333336,3303.088784,18,OR
412223156489998,93,Engelmann spruce,Picea engelmannii,6,14.25,25.7,76.66666666666667,3977.1584909999997,6,OR
412223156489998,108,lodgepole pine,Pinus contorta,6,8.816666666666668,11.0,58.333333333333336,1220.092704,6,OR
412223156489998,264,mountain hemlock,Tsuga mertensiana,41,8.356097560975611,19.2,38.78048780487805,7954.107363,33,OR
444202173489998,17,grand fir,Abies grandis,11,18.40909090909091,36.5,90.0909090909091,16431.054309,11,OR
444202173489998,22,noble fir,Abies procera,2,35.65,38.8,130.5,11978.50475,2,OR
444202173489998,202,Douglas-fir,Pseudotsuga menziesii,6,29.933333333333334,47.5,119.16666666666667,20095.516894,6,OR
444202588489998,19,subalpine fir,Abies lasiocarpa,1,13.4,13.4,51.0,366.594346,1,OR
444202588489998,108,lodgepole pine,Pinus contorta,23,8.391304347826088,13.2,51.34782608695652,4060.451793,22,OR
444202588489998,264,mountain hemlock,Tsuga mertensiana,22,9.195454545454545,13.9,46.63636363636363,4657.281513,21,OR
44540330020004,19,subalpine fir,Abies lasiocarpa,5,1.92,3.7,12.0,22.498309,0,OR
44540330020004,73,western larch,Larix occidentalis,1,28.6,28.6,117.0,3124.239096,1,OR
44540330020004,108,lodgepole pine,Pinus contorta,9,3.211111111111111,10.4,22.88888888888889,424.649426,1,OR
44540730020004,64,western juniper,Juniperus occidentalis,8,14.2,30.4,35.75,4017.004672,8,OR
44540730020004,122,ponderosa pine,Pinus ponderosa,8,15.6625,26.7,54.625,6121.818076,8,OR
44540996020004,21,Shasta red fir,Abies shastensis,34,17.570588235294117,48.5,82.58823529411765,44953.612653000004,34,OR
44540996020004,108,lodgepole pine,Pinus contorta,7,11.171428571428573,13.7,79.42857142857143,2976.103247,7,OR
44540996020004,119,western white pine,Pinus monticola,2,14.700000000000001,17.1,99.0,1346.992057,2,OR
44540996020004,264,mountain hemlock,Tsuga mertensiana,18,11.75,22.5,60.166666666666664,8844.922004,18,OR
44541194020004,15,white fir,Abies concolor,57,20.728070175438596,32.7,106.59649122807018,151751.418222,57,OR
44541194020004,122,ponderosa pine,Pinus ponderosa,2,36.1,41.2,121.0,12904.428874000001,2,OR
44541725020004,15,white fir,Abies concolor,5,18.02,21.5,101.2,6629.6387159999995,5,OR
44541725020004,117,sugar pine,Pinus lambertiana,1,18.3,18.3,99.0,995.314442,1,OR
44541725020004,202,Douglas-fir,Pseudotsuga menziesii,2,19.85,23.4,102.5,2819.432634,2,OR
48203759010497,15,white fir,Abies concolor,1,33.1,33.1,183.0,7812.533364,1,OR
48203759010497,17,grand fir,Abies grandis,8,25.9125,34.8,129.625,28819.142255,8,OR
48203759010497,119,western white pine,Pinus monticola,4,23.775,43.4,122.25,14333.031657,4,OR
48203759010497,202,Douglas-fir,Pseudotsuga menziesii,12,20.641666666666666,36.9,99.25,30771.647456,12,OR
48203759010497,264,mountain hemlock,Tsuga mertensiana,1,28.2,28.2,87.0,2607.139445,1,OR
484817837489998,17,grand fir,Abies grandis,24,10.950000000000001,30.5,58.375,13654.062622000001,20,OR
484817837489998,119,western white pine,Pinus monticola,1,10.0,10.0,69.0,213.334211,1,OR
484817837489998,122,ponderosa pine,Pinus ponderosa,1,24.8,24.8,80.0,1977.997877,1,OR
484817837489998,202,Douglas-fir,Pseudotsuga menziesii,10,16.94,30.1,79.1,11438.312636999999,10,OR
484818090489998,15,white fir,Abies concolor,2,12.45,13.3,28.0,199.845867,2,OR
484818090489998,21,Shasta red fir,Abies shastensis,47,15.110638297872342,35.8,45.12765957446808,34988.333253000004,44,OR
490388083126144,17,grand fir,Abies grandis,1,8.8,8.8,57.0,184.486236,1,OR
490388083126144,202,Douglas-fir,Pseudotsuga menziesii,33,11.681818181818182,35.5,81.24242424242425,22997.862584000002,33,OR
490388083126144,242,western redcedar,Thuja plicata,6,23.25,63.0,72.5,20888.241117999998,3,OR
