L4_CODE,L4_NAME,species_common_name,tree_count,plots_with_species,total_plots_in_ecoregion,L3_CODE,L3_NAME,avg_tree_cover_pct,area_sqkm,pct_plots_with_species
11l,Mesic Forest Zone,Sitka spruce,3,1,64,11,Blue Mountains,13.4,1352.2,1.6
11l,Mesic Forest Zone,black cottonwood,3,1,64,11,Blue Mountains,13.4,1352.2,1.6
11l,Mesic Forest Zone,water birch,3,1,64,11,Blue Mountains,13.4,1352.2,1.6
11m,Subalpine-Alpine Zone,grand fir,18,2,4,11,Blue Mountains,14.2,44.5,50.0
11m,Subalpine-Alpine Zone,subalpine fir,16,2,4,11,Blue Mountains,14.2,44.5,50.0
11m,Subalpine-Alpine Zone,Douglas-fir,8,1,4,11,Blue Mountains,14.2,44.5,25.0
11m,Subalpine-Alpine Zone,Engelmann spruce,4,2,4,11,Blue Mountains,14.2,44.5,50.0
11m,Subalpine-Alpine Zone,bitter cherry,3,1,4,11,Blue Mountains,14.2,44.5,25.0
15g,Western Okanogan Semiarid Foothills,Douglas-fir,503,52,91,15,Northern Rockies,4.3,4671.9,57.1
15g,Western Okanogan Semiarid Foothills,ponderosa pine,388,59,91,15,Northern Rockies,4.3,4671.9,64.8
15g,Western Okanogan Semiarid Foothills,western larch,97,24,91,15,Northern Rockies,4.3,4671.9,26.4
15g,Western Okanogan Semiarid Foothills,Engelmann spruce,66,8,91,15,Northern Rockies,4.3,4671.9,8.8
15g,Western Okanogan Semiarid Foothills,lodgepole pine,20,7,91,15,Northern Rockies,4.3,4671.9,7.7
15g,Western Okanogan Semiarid Foothills,quaking aspen,6,3,91,15,Northern Rockies,4.3,4671.9,3.3
15g,Western Okanogan Semiarid Foothills,subalpine fir,5,2,91,15,Northern Rockies,4.3,4671.9,2.2
15g,Western Okanogan Semiarid Foothills,red alder,4,1,91,15,Northern Rockies,4.3,4671.9,1.1
15g,Western Okanogan Semiarid Foothills,paper birch,1,1,91,15,Northern Rockies,4.3,4671.9,1.1
15g,Western Okanogan Semiarid Foothills,willow spp.,1,1,91,15,Northern Rockies,4.3,4671.9,1.1
