id,observed_on,latitude,longitude,geoprivacy,scientific_name
37645281,2017-09-23,47.03935,-122.894,,Cantharellus subalbidus
37645424,2017-10-07,47.05425,-123.124,,Cantharellus formosus
37645446,2017-10-14,46.5628,-121.5945,,Cantharellus subalbidus
37645775,2017-10-21,47.0744,-122.9725,,Cantharellus subalbidus
37645909,2017-10-27,46.5628,-121.5945,,Cantharellus subalbidus
37646195,2017-11-14,46.5628,-121.5945,,Cantharellus subalbidus
37646217,2017-11-14,46.5628,-121.5945,,Cantharellus subalbidus
37687474,2016-07-15,47.79594,-122.49699,,Cantharellus subalbidus
37866962,2019-10-18,47.3273282088,-120.6779024418,obscured,Cantharellus subalbidus
37908317,2020-01-23,47.0775937532,-122.9673404077,obscured,Cantharellus formosus
37977468,2020-01-25,47.0641831723,-122.8971418908,obscured,Cantharellus formosus
41215465,2020-01-01,47.31511333,-122.54335833,,Cantharellus formosus
44412152,2019-11-10,48.9134637882,-121.695098264,,Cantharellus formosus
52080098,2020-07-05,47.2759554025,-121.9409499647,,Cantharellus formosus
52440729,2020-07-03,47.1640324975,-123.0108170689,obscured,Cantharellus formosus
52743192,2019-07-31,48.4021533333,-122.6509033333,,Cantharellus formosus
53336833,2020-07-11,47.0665529379,-122.8105270025,obscured,Cantharellus formosus
53336835,2020-07-11,47.0330862081,-122.8182677716,obscured,Cantharellus formosus
53336838,2020-07-11,47.079464826,-122.9524386959,obscured,Cantharellus formosus
53337793,2020-07-15,47.1117824772,-122.8763483918,obscured,Cantharellus subalbidus
53408084,2020-07-17,47.0728239883,-122.9775964517,,Cantharellus formosus
53408978,2020-07-17,47.0733224192,-122.9782075236,,Cantharellus formosus
54603682,2020-07-25,48.1191280043,-123.9923527349,obscured,Cantharellus formosus
54666606,2020-07-28,46.41332,-123.89885833,,Cantharellus formosus
55746199,2020-07-31,47.3716338981,-122.9747948884,,Cantharellus formosus
55876491,2020-08-08,48.215775,-121.5551833333,,Cantharellus roseocanus
55876493,2020-08-08,48.2156833333,-121.5542611111,,Cantharellus roseocanus
56292416,2020-08-12,47.685,-123.0397222222,,Cantharellus formosus
56331636,2020-08-11,47.91951667,-124.60267,,Cantharellus formosus
56601456,2020-08-15,47.0969599581,-122.9196519311,obscured,Cantharellus subalbidus
56818418,2013-10-12,46.7627786025,-122.5957753882,,Cantharellus formosus
57098893,2020-08-20,47.0805512038,-122.9209449295,obscured,Cantharellus subalbidus
57998894,2015-12-27,47.390545,-122.489901,,Cantharellus formosus
58214029,2020-08-01,47.6856092323,-124.40201886,,Cantharellus formosus
58222733,2020-08-02,47.8609940784,-123.9343408495,,Cantharellus formosus
58300402,2020-08-02,47.6863863368,-124.4019809738,,Cantharellus formosus
58684162,2020-09-05,46.1084448034,-122.1295367181,,Cantharellus formosus
58813843,2020-08-22,45.802384974,-121.7918370998,obscured,Cantharellus roseocanus
58814404,2020-08-23,46.1634092609,-121.9308273602,obscured,Cantharellus roseocanus
59823347,2020-09-15,47.0619658478,-122.9777404065,,Cantharellus subalbidus
60093228,2020-09-19,47.0728229876,-122.978190409,,Cantharellus subalbidus
60094069,2020-09-19,47.0725837226,-122.977886872,,Cantharellus subalbidus
60381931,2020-09-21,47.7974967055,-122.5969326208,,Cantharellus subalbidus
60383385,2020-09-21,47.8096366151,-122.5997395653,,Cantharellus formosus
60680732,2020-09-24,47.84425,-122.59563,,Cantharellus formosus
60713907,2019-10-04,46.0183256306,-121.6673657858,,Cantharellus subalbidus
60902070,2020-09-26,47.9293782805,-123.0065523401,obscured,Cantharellus subalbidus
61056104,2020-09-27,46.8929125,-123.1135833,,Cantharellus formosus
61123881,2020-09-27,47.4417033333,-123.41475,,Cantharellus formosus
61182443,2020-09-27,47.67689167,-122.99812167,,Cantharellus subalbidus
61283345,2020-09-28,47.9132229566,-123.6764358333,obscured,Cantharellus formosus
61352300,2020-09-26,48.6962680635,-122.3602382397,obscured,Cantharellus formosus
61427089,2020-10-01,47.06518617,-122.98716667,,Cantharellus formosus
61431791,2020-10-01,48.6097476073,-122.4261638014,,Cantharellus formosus
61524990,2020-10-02,48.827741711,-122.1305158722,,Cantharellus formosus
61529573,2020-10-01,47.42423833,-121.358095,,Cantharellus formosus
61541589,2020-09-24,47.86088667,-123.929275,,Cantharellus formosus
61625032,2020-10-03,48.3210777638,-122.344843046,obscured,Cantharellus formosus
61697353,2020-10-04,48.6366900446,-122.4868939471,obscured,Cantharellus formosus
61837800,2020-10-05,47.0695028333,-122.996575,,Cantharellus formosus
61911038,2020-10-06,47.0103110512,-122.7950310634,,Cantharellus formosus
61943528,2020-10-06,46.9528870418,-122.9503410042,,Cantharellus formosus
62143626,2020-10-09,48.2174,-122.499245,,Cantharellus formosus
62152565,2020-10-09,47.68355362,-122.04243222,,Cantharellus subalbidus
62173505,2020-10-08,47.371226,-122.4934559722,,Cantharellus subalbidus
62253169,2020-10-10,47.7013527778,-122.784425,,Cantharellus formosus
62253549,2020-10-09,46.7050788705,-121.9291851044,obscured,Cantharellus formosus
62268064,2020-10-10,47.59113667,-124.36797167,,Cantharellus formosus
62273042,2020-10-02,48.144877,-120.96136167,,Cantharellus subalbidus
62351230,2020-10-10,46.9178271929,-122.9116462768,,Cantharellus formosus
62450592,2020-10-12,47.0323828608,-123.3600508143,,Cantharellus cascadensis
62515517,2020-10-07,48.7483275981,-117.1909868888,obscured,Cantharellus roseocanus
62526304,2020-10-05,46.1754116099,-121.6854189186,obscured,Cantharellus subalbidus
62537833,2020-10-09,46.7357110833,-121.9637511667,,Cantharellus formosus
62693315,2020-10-15,46.0029438653,-122.2330486596,obscured,Cantharellus formosus
62798821,2020-10-15,46.6525508318,-121.4721415203,,Cantharellus subalbidus
62799510,2020-10-15,46.6519202508,-121.4736800224,,Cantharellus subalbidus
62812660,2020-10-10,48.8476146433,-121.9015573338,,Cantharellus formosus
62855056,2020-10-17,47.0849461479,-122.9992791473,obscured,Cantharellus formosus
62865924,2020-10-17,46.5546832399,-122.1581126872,obscured,Cantharellus formosus
62913449,2020-10-17,48.1447555,-122.4971783333,,Cantharellus formosus
62949743,2020-10-18,47.0742029193,-121.3420314652,obscured,Cantharellus formosus
